units,inch,foot,yard,mile,nautical mile,nanometer,micrometer,milimeter,centimeter,meter,kilometer
inch,0,12,36,63360,72913.4,25400000,25400,25.4,2.54,0.0254,0.0000254
foot,12,0,3,5280,6076.12,0.0000000032808,0.0000032808,0.0032808,0.032808,3.28084,3280.84
yard,36,3,0,1760,2025.37,0.0000000010936,0.0000010936,0.0010936,0.010936,1.0936,1093.6
mile,63360,5280,1760,0,1.15078,0.00000000000062137,0.00000000062137,0.00000062137,0.0000062137,0.00062137,0.62137
nautical mile,72913.4,6076.12,2025.37,1.15078,0,0.00000000000053996,0.00000000053996,0.00000053996,0.0000053996,0.00053996,0.53996
nanometer,25400000,0.0000000032808,0.0000000010936,0.00000000000062137,0.00000000000053996,0,1000,1000000,10000000,1000000000,1000000000000
micrometer,25400,0.0000032808,0.0000010936,0.00000000062137,0.00000000053996,1000,0,1000,10000,1000000,1000000000
milimeter,25.4,0.0032808,0.0010936,0.00000062137,0.00000053996,1000000,1000,0,10,1000,1000000
centimeter,2.54,0.032808,0.010936,0.0000062137,0.0000053996,10000000,10000,10,0,100,100000
meter,0.0254,3.28084,1.0936,0.00062137,0.00053996,1000000000,1000000,1000,100,0,1000
kilometer,0.0000254,3280.84,1093.6,0.62137,0.53996,1000000000000,1000000000,1000000,100000,1000,0
